Name,Space agency,Launch date,Terminated,Location,Ref(s),Type,Full Name
Proton-1,USSR,16/07/1965,11/10/1965,Earth orbit (183-589 km),[2],Gamma-ray,Proton-1
Proton-2,USSR,02/11/1965,06/02/1966,Earth orbit (191-637 km),[2],Gamma-ray,Proton-2
Proton-4,USSR,16/11/1968,24/07/1969,Earth orbit (248-477 km),[3],Gamma-ray,Proton-4
SAS-B,NASA,15/11/1972,08/06/1973,Earth orbit (443–632 km),[4][5],Gamma-ray,Small Astronomy Satellite 2 (SAS-B)
Cos-B,ESA,09/08/1975,25/04/1982,"Earth orbit (339.6–99,876 km)",[6][7][8],Gamma-ray,Cos-B
HEAO,NASA,20/09/1979,29/05/1981,Earth orbit (486.4–504.9 km),[9][10][11],Gamma-ray,High Energy Astronomy Observatory 3
Granat,CNRS & IKI,01/12/1989,25/05/1999,"Earth orbit (2,000–200,000 km)",[12][13][14],Gamma-ray,Granat
Gamma,"USSR, CNES, RSA",11/07/1990,01/01/1992,Earth orbit (375 km),[15],Gamma-ray,Gamma
CGRO,NASA,05/04/1991,04/06/2000,Earth orbit (362–457 km),[16][17][18],Gamma-ray,Compton Gamma Ray Observatory(CGRO)
LEGRI,INTA,19/05/1997,01/02/2002,Earth orbit (600 km),[19][20],Gamma-ray,Low Energy Gamma Ray Imager(LEGRI)
HETE 2,NASA,09/10/2000,01/03/2008,Earth orbit (590–650 km),[21][22][23],Gamma-ray,High Energy Transient Explorer 2(HETE 2)
INTEGRAL,ESA,17/10/2002,01/01/2001,"Earth orbit (639–153,000 km)",[24][25],Gamma-ray,International Gamma Ray Astrophysics Laboratory(INTEGRAL)
SWIFT,NASA,20/11/2004,01/01/2001,Earth orbit (585–604 km),[26][27],Gamma-ray,Neil Gehrels Swift Observatory
AGILE,ISA,23/04/2007,18/01/2024,Earth orbit (524–553 km),[28][29],Gamma-ray,Astrorivelatore Gamma ad Immagini Leggero(AGILE)
Fermi,NASA,11/06/2008,01/01/2001,Earth orbit (555 km),[30],Gamma-ray,Fermi Gamma-ray Space Telescope
IKAROS,JAXA,21/05/2010,21/05/2015,Heliocentric orbit,[31][32],Gamma-ray,Gamma-Ray Burst Polarimeter(IKAROS)
SVOM,CNSA & CNES,22/06/2024,01/01/2001,Earth orbit (625–625 km),[33][34],Gamma-ray,Space Variable Objects Monitor(SVOM)
